"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
201730,Guilford,32423,IDS 402,002,4,Business Ethics,Fast Track I. Enrollment limited to seniors. Prerequisites: Minimum 88 semester credits earned and completion of Historical Perspectives requirement.,,"Dutch, Michael",KING 123,First half of semester course,MW,6:00pm - 8:00pm,18,16,0/0,0/0,0,,
201730,Guilford,32782,IDS 428,001,4,Agricultural Revolutions,Enrollment limited to seniors. Prerequisites: Minimum 88 semester credits earned and completion of Historical Perspectives requirement.,,"Guthrie, Thomas",KING B26,Full Term Courses,MW,10:00am - 11:15am,17,18,0/0,0/0,1,,
201730,Guilford,33025,IDS 430,001,4,AfAMS: Back to Future?,"Enrollment limited to seniors.  Prerequisites: Minimum 88 semester credits earned and completion of Historical Perspectives requirement. Prerequisite:  At least one course in African American History, Moder U.S. History, Social Problems, Criminal Justice, or Community Problem Solving.",,"Israel, Adrienne",KING 205,Full Term Courses,W,6:00pm - 8:00pm,12,18,0/0,0/0,6,,
201730,Guilford,32688,IDS 437,001,4,Barrier Islands: Ecology & Dev,"Enrollment limited to seniors, minimum 88 semester credits earned. Prerequisites: HP & 2 semesters lab science or instructor permission. Lab is during required field trip over fall break. Course fee: $200.",,"McCauley, Marlene",FRNK 205,Full Term Courses,TF,10:00am - 11:15am,12,18,0/0,0/0,6,,
201730,Guilford,32689,IDS 437,002,0,Lab,,,"McCauley, Marlene", ,Full Term Courses,TBA,TBA,12,18,0/0,0/0,6,,
201730,Guilford,33063,IDS 446,001,4,"Blue Mind, Crt Wrk, Crtcl Play",Enrollment limited to Seniors. Prerequisites: Minimum 88 semester credits earned and completion of Historical Perspectives requirement.,,"Dery, Maia   Peterson, Holly   Shields, Kathryn",KING 126,Full Term Courses,R,10:00am - 2:00pm,12,18,0/0,0/0,6,,
201730,Guilford,32932,IDS 477,001,4,"Magic, Science and Religion",Enrollment limited to seniors. Prerequisites: Minimum 88 semester credits earned and completion of Historical Perspectives requirement.,,"Mortensen, Eric   Smith, Donald",FRNK 102,Full Term Courses,TF,2:30pm - 3:45pm,18,16,0/0,0/0,0,,
201730,Guilford,30175,JAPN 101,001,4,Communicating in Japanese I,Corequisite: Associate lab.,,"Hirakawa, Hiroko",BAUM 202,Full Term Courses,MTR,1:00pm - 2:15pm,24,30,,7/1,6,,
201730,Guilford,30753,JAPN 101,002,0,Lab,,,"Hirakawa, Hiroko",BAUM 202,Full Term Courses,F,1:00pm - 2:15pm,24,30,,7/1,6,,
201730,Guilford,30176,JAPN 201,001,4,Intermediate Japanese I,Prerequisite: JAPN 102 or instructor permision.,,"Hirakawa, Hiroko",DUKE 201,Full Term Courses,MWR,11:30am - 12:45pm,9,25,0/0,0/0,16,,
201730,Guilford,32419,JPS 100,001,4,Inquiry into Criminal Justice,,,"Qi, Ziwei",KING 123,Full Term Courses,MW,11:30am - 12:45pm,27,25,,12/1,0,,
201730,Guilford,32418,JPS 100,002,4,Inquiry into Criminal Justice,,,"Bonventre, Catherine",KING 222,Full Term Courses,TR,4:00pm - 5:15pm,24,25,,11/1,1,,
201730,Guilford,32421,JPS 100,003,4,Inquiry into Criminal Justice,,,"Qi, Ziwei",KING 201,Full Term Courses,R,7:25pm - 10:10pm,18,30,0/0,0/0,12,,
